Pot.No,Block,Realized_PosA,Realized_PosB,AccID_Tester_posA,AccID_Target_posB,CommunityType,RealizedComposition,Rosette_PosA_22to24March,Rosette_PosB_22to24March,DateOfFirstFlowering.PosA,DateOfFirstFlowering.PosB,washingDateRoot,RootMass_mg,RootMass_mg_corrected,Biomass_mg_posA,Biomass_mg_posB,PotBiomass_mg
G1077,b2,Col,Ei2,6909,6915,mixture,Col Ei2,9.5,9,03/27/2016,04/10/2016,NA,NA,NA,583,524,1107
G1078,b2,Col,Est,6909,6916,mixture,Col Est,8.5,8.5,03/27/2016,03/29/2016,04/21/2012,115.6,178.44,501,299,800
G1079,b2,Col,Fab2,6909,6917,mixture,Col Fab2,8,7.5,03/31/2016,NA,NA,NA,NA,509,240,749
G1080,b2,Col,Got22,6909,6920,mixture,Col Got22,10,9,03/27/2016,NA,NA,NA,NA,723,355,1078
G1081,b2,Col,Got7,6909,6921,mixture,Col Got7,8.5,9.5,03/27/2016,NA,NA,NA,NA,682,452,1134
G1082,b2,Col,Gu0,6909,6922,mixture,Col Gu0,7.5,7.5,03/29/2016,03/27/2016,NA,NA,NA,578,343,921
G1083,b2,Col,Kin,6909,6926,mixture,Col Kin,10.5,9,03/27/2016,04/05/2016,04/20/2012,159,215.63,694,340,1034
G1084,b2,Col,Kond,6909,6929,mixture,Col Kond,8.5,8,03/27/2016,04/07/2016,NA,NA,NA,503,575,1078
G1085,b2,Col,Ler,6909,6932,mixture,Col Ler,8.5,6,03/27/2016,03/27/2016,NA,NA,NA,626,382,1008
G1086,b2,Col,Lov1,6909,6043,mixture,Col Lov1,9,7,03/29/2016,NA,04/21/2012,111.6,174.44,773,150,923
G1087,b2,Col,NA,6909,NA,single,Col,9,NA,03/27/2016,NA,04/21/2012,101.4,164.24,874,NA,NA
G1088,b2,Col,Lp22,6909,7520,mixture,Col Lp22,8,9,03/29/2016,03/27/2016,NA,NA,NA,626,831,1457
G1089,b2,Col,Lz,6909,6936,mixture,Col Lz,8,8.5,03/27/2016,04/12/2016,NA,NA,NA,585,478,1063
G1090,b2,Col,Mrk,6909,6937,mixture,Col Mrk,10,9,03/27/2016,03/31/2016,NA,NA,NA,665,524,1189
G1091,b2,Col,Mz,6909,6940,mixture,Col Mz,8,4,03/27/2016,04/05/2016,NA,NA,NA,636,60,696
G1092,b2,Col,Nd,6909,6942,mixture,Col Nd,10.5,7.5,03/27/2016,03/27/2016,NA,NA,NA,757,367,1124
G1093,b2,Col,Nok3,6909,6945,mixture,Col Nok3,8.5,7,03/29/2016,NA,NA,NA,NA,545,428,973
G1094,b2,Col,Omo23,6909,7519,mixture,Col Omo23,8.5,7.5,03/27/2016,NA,NA,NA,NA,613,324,937
G1095,b2,Col,Oy,6909,6946,mixture,Col Oy,9.5,9.5,03/24/2016,04/03/2016,NA,NA,NA,617,647,1264
G1096,b2,Col,Pna10,6909,7526,mixture,Col Pna10,8.5,7,03/27/2016,NA,04/21/2012,141.2,204.04,579,407,986
G1097,b2,Col,Pna17,6909,7523,mixture,Col Pna17,10,7.5,03/27/2016,NA,NA,NA,NA,713,455,1168
G1098,b2,Col,Pro,6909,8213,mixture,Col Pro,9,8.5,03/27/2016,03/20/2016,NA,NA,NA,643,403,1046
G1099,b2,Col,Ra,6909,6958,mixture,Col Ra,9,10.5,03/27/2016,03/27/2016,NA,NA,NA,551,754,1305
G1100,b2,Col,Ren1,6909,6959,mixture,Col Ren1,9,6,03/29/2016,04/10/2016,NA,NA,NA,712,333,1045
