Pot.No,Block,Realized_PosA,Realized_PosB,AccID_Tester_posA,AccID_Target_posB,CommunityType,RealizedComposition,Rosette_PosA_22to24March,Rosette_PosB_22to24March,DateOfFirstFlowering.PosA,DateOfFirstFlowering.PosB,washingDateRoot,RootMass_mg,RootMass_mg_corrected,Biomass_mg_posA,Biomass_mg_posB,PotBiomass_mg
G1,b1,Col,Ci5,6909,6908,mixture,Col Ci5,8,7,03/24/2016,04/12/2016,04/20/2012,184.4,241.03,709,398,1107
G2,b1,Col,Ll0,6909,6933,mixture,Col Ll0,9,6,03/27/2016,NA,04/20/2012,112.6,169.23,786,248,1034
G3,b1,Col,Nfa10,6909,6943,mixture,Col Nfa10,8,6,03/24/2016,04/03/2016,04/19/2012,218.1,248.48,938,436,1374
G4,b1,Col,Nfa8,6909,6944,mixture,Col Nfa8,9.5,8,03/22/2016,03/31/2016,04/17/2012,186.2,186.20,1036,390,1426
G5,b1,Col,Spr16,6909,6965,mixture,Col Spr16,8,6,03/24/2016,NA,04/18/2012,185.3,206.10,775,295,1070
G6,b1,Col,NA,6909,NA,single,Col,8.5,NA,03/27/2016,NA,04/17/2012,111.1,111.10,825,NA,NA
G7,b1,Col,Kz9,6909,6931,mixture,Col Kz9,8,8.5,03/27/2016,03/27/2016,04/17/2012,158.4,158.40,738,693,1431
G8,b1,Col,An1,6909,6898,mixture,Col An1,7.5,7,03/27/2016,03/20/2016,04/20/2012,126.8,183.43,724,443,1167
G9,b1,Col,Bay,6909,6899,mixture,Col Bay,7.5,8,03/24/2016,03/22/2016,04/19/2012,175.8,206.18,539,882,1421
G10,b1,Col,Bil5,6909,6900,mixture,Col Bil5,7,6,03/29/2016,NA,04/19/2012,145.2,175.58,915,140,1055
G11,b1,Col,Bil7,6909,6901,mixture,Col Bil7,7.5,5.5,03/27/2016,NA,04/17/2012,105.7,105.70,729,122,851
G12,b1,Col,Bor1,6909,5837,mixture,Col Bor1,8.5,7,03/24/2016,04/03/2016,04/19/2012,152.7,183.08,733,492,1225
G13,b1,Col,Br0,6909,6904,mixture,Col Br0,10.5,8.5,03/24/2016,NA,04/19/2012,216.7,247.08,923,598,1521
G14,b1,Col,Bur,6909,6905,mixture,Col Bur,9,7.5,03/27/2016,04/07/2016,04/17/2012,295.9,295.90,850,523,1373
G15,b1,Col,C24,6909,6906,mixture,Col C24,8,8,03/24/2016,03/29/2016,04/19/2012,150.9,181.28,655,666,1321
G16,b1,Col,Col,6909,6909,monoculture,Col Col,8,9.5,03/27/2016,03/27/2016,04/19/2012,154.1,184.48,694,677,1371
G17,b1,Col,Ct,6909,6910,mixture,Col Ct,4.5,7.5,03/31/2016,03/27/2016,NA,NA,NA,278,489,767
G18,b1,Col,Ed1,6909,6009,mixture,Col Ed1,8.5,4.5,03/27/2016,NA,04/17/2012,124.3,124.30,967,70,1037
G19,b1,Col,Ed2,6909,6913,mixture,Col Ed2,9,6.5,03/24/2016,NA,04/20/2012,143.9,200.53,981,229,1210
G20,b1,Col,Edi0,6909,6914,mixture,Col Edi0,7,6,03/27/2016,NA,04/20/2012,145.9,202.53,630,382,1012
G21,b1,Col,Ei2,6909,6915,mixture,Col Ei2,8.5,6.5,03/27/2016,04/10/2016,04/19/2012,219.1,249.48,801,407,1208
G22,b1,Col,Est,6909,6916,mixture,Col Est,8.5,8,03/27/2016,03/24/2016,04/20/2012,104.6,161.23,694,296,990
G23,b1,Col,Fab2,6909,6917,mixture,Col Fab2,9.5,7,03/22/2016,NA,04/17/2012,183.1,183.10,1008,227,1235
G24,b1,Col,Got22,6909,6920,mixture,Col Got22,8,9,03/24/2016,NA,04/19/2012,223.2,253.58,778,612,1390
G25,b1,Col,Got7,6909,6921,mixture,Col Got7,8,8,03/27/2016,NA,04/17/2012,252.9,252.90,736,492,1228
G26,b1,Col,Gu0,6909,6922,mixture,Col Gu0,7.5,6,03/27/2016,03/24/2016,04/18/2012,142.4,163.20,756,392,1148
G27,b1,Col,Kin,6909,6926,mixture,Col Kin,9,7,03/27/2016,04/05/2016,04/18/2012,177.2,198.00,702,510,1212
G28,b1,Col,Kond,6909,6929,mixture,Col Kond,7.5,7.5,03/29/2016,04/10/2016,04/20/2012,148,204.63,470,587,1057
G29,b1,Col,Ler,6909,6932,mixture,Col Ler,8,8,03/27/2016,03/24/2016,04/18/2012,108.7,129.50,675,624,1299
G30,b1,Col,Lov1,6909,6043,mixture,Col Lov1,8.5,7,03/24/2016,NA,04/19/2012,131.5,161.88,940,214,1154
G31,b1,Col,Lov5,6909,6046,mixture,Col Lov5,9,8,03/27/2016,NA,04/18/2012,113,133.80,931,186,1117
G32,b1,Col,Lp22,6909,7520,mixture,Col Lp22,8.5,7,03/27/2016,03/31/2016,04/20/2012,135.6,192.23,628,459,1087
G33,b1,Col,Lz,6909,6936,mixture,Col Lz,7,8,03/27/2016,04/10/2016,04/18/2012,244.7,265.50,481,567,1048
G34,b1,Col,Mrk,6909,6937,mixture,Col Mrk,9,8,03/24/2016,03/31/2016,04/20/2012,98.1,154.73,645,573,1218
G35,b1,Col,Mz,6909,6940,mixture,Col Mz,9,5.5,03/27/2016,03/29/2016,04/20/2012,82.2,138.83,754,59,813
G36,b1,Col,Nd,6909,6942,mixture,Col Nd,8.5,8,03/27/2016,03/27/2016,04/17/2012,187.1,187.10,802,563,1365
G37,b1,Col,Nok3,6909,6945,mixture,Col Nok3,10,8,03/27/2016,NA,04/18/2012,211.5,232.30,811,452,1263
G38,b1,Col,Omo23,6909,7519,mixture,Col Omo23,9.5,7.5,03/24/2016,NA,04/18/2012,152,172.80,859,353,1212
G39,b1,Col,Oy,6909,6946,mixture,Col Oy,9.5,7,03/24/2016,04/03/2016,04/19/2012,207.2,237.58,850,547,1397
G40,b1,Col,Pna10,6909,7526,mixture,Col Pna10,8,5.5,03/27/2016,NA,04/18/2012,129.1,149.90,744,298,1042
G41,b1,Col,Pna17,6909,7523,mixture,Col Pna17,9,6.5,03/24/2016,NA,04/18/2012,197.5,218.30,805,416,1221
G42,b1,Col,Pro,6909,8213,mixture,Col Pro,7.5,6.5,03/24/2016,03/22/2016,04/20/2012,108.1,164.73,666,467,1133
G43,b1,Col,NA,6909,NA,single,Col,7,NA,03/27/2016,NA,04/19/2012,134,164.38,1090,NA,NA
G44,b1,Col,Ren1,6909,6959,mixture,Col Ren1,8,7,03/27/2016,04/05/2016,04/17/2012,142,142.00,604,443,1047
G45,b1,Col,Ren11,6909,6960,mixture,Col Ren11,9,7,03/27/2016,03/31/2016,04/18/2012,185.9,206.70,876,476,1352
G46,b1,Col,Rmx2,6909,7524,mixture,Col Rmx2,8,7,03/27/2016,NA,04/18/2012,215.6,236.40,758,499,1257
G47,b1,Col,Rmx180,6909,7525,mixture,Col Rmx180,8,7,03/27/2016,04/10/2016,04/18/2012,164,184.80,515,430,945
G48,b1,Col,Rrs7,6909,7514,mixture,Col Rrs7,9,7,03/27/2016,NA,04/18/2012,149.1,169.90,623,469,1092
G49,b1,Col,Se,6909,6961,mixture,Col Se,9,9.5,03/22/2016,04/03/2016,04/20/2012,184,240.63,733,514,1247
G50,b1,Col,Sha,6909,6962,mixture,Col Sha,8,7,03/27/2016,03/31/2016,04/18/2012,145.9,166.70,650,515,1165
G51,b1,Col,Sorbo,6909,6963,mixture,Col Sorbo,9,8.5,03/27/2016,NA,04/18/2012,180,200.80,810,530,1340
G52,b1,Col,Tamm2,6909,6968,mixture,Col Tamm2,7,7,03/27/2016,NA,04/19/2012,108.7,139.08,745,327,1072
G53,b1,Col,Tamm27,6909,6969,mixture,Col Tamm27,5,7.5,03/27/2016,NA,04/18/2012,195.5,216.30,594,371,965
G54,b1,Col,Ts1,6909,6970,mixture,Col Ts1,8.5,9,03/27/2016,04/07/2016,04/20/2012,117.6,174.23,574,439,1013
G55,b1,Col,Tsu1,6909,6972,mixture,Col Tsu1,8.5,9,03/24/2016,03/29/2016,04/18/2012,170.7,191.50,722,827,1549
G56,b1,Col,Ull23,6909,6973,mixture,Col Ull23,8.5,8,03/24/2016,03/29/2016,04/18/2012,158.4,179.20,696,624,1320
G57,b1,Col,Uod1,6909,6975,mixture,Col Uod1,8,7.5,03/27/2016,03/31/2016,04/19/2012,198.9,229.28,758,549,1307
G58,b1,Col,Uod7,6909,6976,mixture,Col Uod7,6.5,7,03/27/2016,NA,04/18/2012,244.7,265.50,593,433,1026
G59,b1,Col,Van,6909,6977,mixture,Col Van,9.5,6.5,03/27/2016,03/27/2016,04/19/2012,148.6,178.98,862,383,1245
G60,b1,Col,Var21,6909,7516,mixture,Col Var21,8,5,03/27/2016,NA,04/18/2012,138.3,159.10,871,211,1082
G61,b1,Col,Var26,6909,7517,mixture,Col Var26,7,7,03/27/2016,NA,04/20/2012,129.7,186.33,839,253,1092
G62,b1,Col,Wa,6909,6978,mixture,Col Wa,8.5,8,03/27/2016,03/22/2016,04/17/2012,150.4,150.40,728,523,1251
G63,b1,Col,Wie,6909,6979,mixture,Col Wie,9,7.5,03/27/2016,03/24/2016,04/18/2012,135.3,156.10,941,455,1396
G64,b1,Col,Ws0,6909,6980,mixture,Col Ws0,8,7.5,03/27/2016,NA,04/18/2012,160.2,181.00,645,406,1051
G65,b1,Col,Ws2,6909,6981,mixture,Col Ws2,6.5,8,03/27/2016,03/20/2016,04/18/2012,152,172.80,633,563,1196
G66,b1,Col,Wt5,6909,6982,mixture,Col Wt5,8,7,03/27/2016,03/31/2016,04/19/2012,174.6,204.98,839,595,1434
G67,b1,Col,Yo,6909,6983,mixture,Col Yo,9,9.5,03/24/2016,NA,04/19/2012,165.9,196.28,540,684,1224
G68,b1,Col,Zdr,6909,6984,mixture,Col Zdr,9,6,03/24/2016,03/27/2016,04/20/2012,128.6,185.23,797,383,1180
G69,b1,Col,Sav,6909,8412,mixture,Col Sav,8.5,8.5,03/24/2016,03/20/2016,04/17/2012,147,147.00,858,420,1278
G70,b1,Col,Uk,6909,7378,mixture,Col Uk,10,10,03/24/2016,04/10/2016,04/20/2012,181.7,238.33,706,585,1291
G71,b1,Col,Sf2,6909,7328,mixture,Col Sf2,7.5,8,03/24/2016,NA,04/20/2012,169.7,226.33,851,378,1229
G72,b1,Col,St0,6909,8387,mixture,Col St0,9,9.5,03/24/2016,03/29/2016,04/18/2012,167,187.80,783,728,1511
G73,b1,Col,Cvi,6909,6911,mixture,Col Cvi,9,6,03/27/2016,03/27/2016,04/19/2012,125.7,156.08,901,255,1156
G74,b1,Col,Ci17,6909,6907,mixture,Col Ci17,8,7,03/24/2016,NA,04/17/2012,200.9,200.90,766,616,1382
G75,b1,Col,Kno10,6909,6927,mixture,Col Kno10,9,8,03/27/2016,NA,04/18/2012,206.5,227.30,691,445,1136
G76,b1,Col,Lp26,6909,7521,mixture,Col Lp26,8,7,03/24/2016,04/10/2016,04/17/2012,195.1,195.10,676,514,1190
G77,b1,Col,Pu27,6909,6956,mixture,Col Pu27,8.5,7.5,03/27/2016,04/10/2016,04/18/2012,264.7,285.50,650,438,1088
G78,b1,Col,Sq1,6909,6966,mixture,Col Sq1,8,8.5,03/27/2016,NA,04/20/2012,127.5,184.13,685,461,1146
G79,b1,Col,Ull25,6909,6974,mixture,Col Ull25,8.5,6.5,03/27/2016,03/31/2016,04/18/2012,249.1,269.90,758,593,1351
G80,b1,Col,Ag,6909,6897,mixture,Col Ag,8.5,6.5,03/27/2016,NA,04/19/2012,221.3,251.68,612,385,997
G81,b1,Col,Gy,6909,8214,mixture,Col Gy,7.5,8,03/27/2016,04/05/2016,04/19/2012,194.6,224.98,760,380,1140
G82,b1,Col,Bor4,6909,6903,mixture,Col Bor4,9,8,03/27/2016,04/03/2016,04/17/2012,294.5,294.50,749,732,1481
G83,b1,Col,Fab4,6909,6918,mixture,Col Fab4,8.5,5,03/27/2016,NA,04/18/2012,123,143.80,927,165,1092
G84,b1,Col,Ga,6909,6919,mixture,Col Ga,8.5,5.5,03/24/2016,04/07/2016,04/20/2012,155.8,212.43,878,345,1223
G85,b1,Col,Kno18,6909,6928,mixture,Col Kno18,7.5,9,03/24/2016,NA,04/19/2012,180.1,210.48,569,611,1180
G86,b1,Col,Mt0,6909,6939,mixture,Col Mt0,8,6.5,03/27/2016,03/27/2016,04/18/2012,183.8,204.60,622,520,1142
G87,b1,Col,Omo21,6909,7518,mixture,Col Omo21,8,8,03/27/2016,NA,04/17/2012,139.5,139.50,673,346,1019
G88,b1,Col,Pu223,6909,6951,mixture,Col Pu223,8,7,03/24/2016,04/03/2016,04/19/2012,159.6,189.98,829,512,1341
G89,b1,Col,Rrs10,6909,7515,mixture,Col Rrs10,7.5,5,03/27/2016,NA,04/17/2012,177.3,177.30,695,260,955
G90,b1,Col,Fei,6909,8215,mixture,Col Fei,7,8.5,03/27/2016,03/27/2016,04/18/2012,185.2,206.00,615,704,1319
G91,b1,Col,Kas,6909,8424,mixture,Col Kas,8,6.5,03/27/2016,NA,04/19/2012,114.8,145.18,748,346,1094
G92,b1,Col,No,6909,7275,mixture,Col No,8.5,11,03/24/2016,03/20/2016,04/17/2012,164.2,164.20,612,691,1303
G93,b1,Col,Bla1,6909,8264,mixture,Col Bla1,7,9,03/27/2016,NA,04/20/2012,136.9,193.53,662,387,1049
G94,b1,Col,Can,6909,8274,mixture,Col Can,8,7,03/27/2016,NA,04/19/2012,161.9,192.28,788,403,1191
G95,b1,Col,Ge,6909,8297,mixture,Col Ge,8,7.5,03/27/2016,NA,04/20/2012,153,209.63,701,396,1097
G96,b1,Col,Wil2,6909,7413,mixture,Col Wil2,9,9.5,03/24/2016,03/22/2016,04/19/2012,162.3,192.68,752,651,1403
G97,b1,Ler,Ci5,6932,6908,mixture,Ler Ci5,7,4,03/24/2016,NA,04/19/2012,141.6,171.98,545,377,922
G98,b1,Ler,Ll0,6932,6933,mixture,Ler Ll0,7.5,7,03/24/2016,04/12/2016,04/17/2012,162.5,162.50,672,296,968
G99,b1,Ler,Nfa10,6932,6943,mixture,Ler Nfa10,7.5,6,03/24/2016,04/03/2016,04/17/2012,143.8,143.80,589,290,879
G100,b1,Ler,Nfa8,6932,6944,mixture,Ler Nfa8,8,8.5,03/22/2016,03/22/2016,04/20/2012,107.5,164.13,601,558,1159
G101,b1,Ler,Spr16,6932,6965,mixture,Ler Spr16,6,5.5,03/24/2016,NA,04/19/2012,155.5,185.88,561,361,922
G102,b1,Ler,Ts5,6932,6971,mixture,Ler Ts5,9,8,03/22/2016,NA,04/18/2012,192.5,213.30,610,414,1024
G103,b1,Ler,Kz9,6932,6931,mixture,Ler Kz9,7,9.5,03/22/2016,03/29/2016,04/19/2012,145.7,176.08,410,768,1178
G104,b1,Ler,An1,6932,6898,mixture,Ler An1,6.5,7.5,03/24/2016,03/20/2016,04/18/2012,97,117.80,567,401,968
G105,b1,Ler,Bay,6932,6899,mixture,Ler Bay,7,9,03/27/2016,03/24/2016,04/20/2012,87.5,144.13,340,884,1224
G106,b1,NA,NA,NA,NA,monoculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G107,b1,Ler,NA,6932,NA,single,Ler,7,NA,03/24/2016,NA,04/19/2012,110.4,140.78,NA,874,NA
G108,b1,Ler,Bor1,6932,5837,mixture,Ler Bor1,7.5,5.5,03/24/2016,04/03/2016,04/18/2012,128,148.80,515,606,1121
G109,b1,Ler,Br0,6932,6904,mixture,Ler Br0,6,7.5,03/24/2016,NA,04/18/2012,210.4,231.20,443,687,1130
G110,b1,Ler,Bur,6932,6905,mixture,Ler Bur,8,9,03/24/2016,04/05/2016,04/17/2012,261.8,261.80,573,827,1400
G111,b1,Ler,C24,6932,6906,mixture,Ler C24,6.5,8,03/24/2016,03/29/2016,04/19/2012,144.6,174.98,487,662,1149
G112,b1,Ler,Col,6932,6909,mixture,Ler Col,9,9,03/22/2016,03/24/2016,04/18/2012,133.7,154.50,545,788,1333
G113,b1,Ler,Ct,6932,6910,mixture,Ler Ct,8,9,03/24/2016,03/24/2016,04/20/2012,122.9,179.53,589,600,1189
G114,b1,Ler,Ed1,6932,6009,mixture,Ler Ed1,6.5,7,03/22/2016,NA,04/19/2012,93.8,124.18,692,235,927
G115,b1,Ler,Ed2,6932,6913,mixture,Ler Ed2,7,5.5,03/24/2016,NA,04/20/2012,111,167.63,696,150,846
G116,b1,Ler,Edi0,6932,6914,mixture,Ler Edi0,8.5,7.5,03/24/2016,NA,04/19/2012,205.1,235.48,593,539,1132
G117,b1,Ler,Ei2,6932,6915,mixture,Ler Ei2,6.5,8,03/24/2016,04/03/2016,04/17/2012,269.6,269.60,339,740,1079
G118,b1,Ler,Est,6932,6916,mixture,Ler Est,7,9,03/22/2016,03/27/2016,04/18/2012,133.9,154.70,591,581,1172
G119,b1,Ler,Fab2,6932,6917,mixture,Ler Fab2,7.5,7.5,03/24/2016,NA,04/17/2012,157.9,157.90,523,423,946
G120,b1,Ler,Got22,6932,6920,mixture,Ler Got22,6.5,9.5,03/27/2016,NA,04/19/2012,174.7,205.08,530,615,1145
G121,b1,Ler,Got7,6932,6921,mixture,Ler Got7,8,9.5,03/22/2016,NA,04/17/2012,163.8,163.80,590,463,1053
G122,b1,Ler,Gu0,6932,6922,mixture,Ler Gu0,7.5,7.5,03/24/2016,03/24/2016,04/17/2012,132.4,132.40,727,458,1185
G123,b1,Ler,Kin,6932,6926,mixture,Ler Kin,7.5,8,03/22/2016,04/05/2016,04/20/2012,191.4,248.03,578,658,1236
G124,b1,Ler,Kond,6932,6929,mixture,Ler Kond,7.5,9,03/22/2016,04/10/2016,04/20/2012,112.7,169.33,485,540,1025
G125,b1,Ler,Ler,6932,6932,monoculture,Ler Ler,7.5,8,03/22/2016,03/22/2016,04/19/2012,160,190.38,552,580,1132
G126,b1,Ler,Lov1,6932,6043,mixture,Ler Lov1,7.5,8,03/24/2016,NA,04/17/2012,119.5,119.50,669,146,815
G127,b1,Ler,Lov5,6932,6046,mixture,Ler Lov5,8.5,7.5,03/22/2016,NA,04/20/2012,133,189.63,775,228,1003
G128,b1,Ler,Lp22,6932,7520,mixture,Ler Lp22,7.5,7.5,03/24/2016,03/29/2016,04/19/2012,168.6,198.98,642,776,1418
G129,b1,Ler,Lz,6932,6936,mixture,Ler Lz,6,9,03/24/2016,04/10/2016,04/20/2012,119.7,176.33,406,669,1075
G130,b1,Ler,Mrk,6932,6937,mixture,Ler Mrk,8,9,03/24/2016,03/31/2016,04/20/2012,146.4,203.03,513,660,1173
G131,b1,Ler,Mz,6932,6940,mixture,Ler Mz,6,5,03/24/2016,03/24/2016,04/19/2012,86.9,117.28,730,166,896
G132,b1,Ler,Nd,6932,6942,mixture,Ler Nd,8,7,03/22/2016,03/24/2016,04/19/2012,177.8,208.18,725,501,1226
G133,b1,Ler,Nok3,6932,6945,mixture,Ler Nok3,8,8,03/24/2016,NA,04/18/2012,135,155.80,616,471,1087
G134,b1,Ler,Omo23,6932,7519,mixture,Ler Omo23,8,6.5,03/24/2016,NA,04/18/2012,193.7,214.50,603,351,954
G135,b1,Ler,Oy,6932,6946,mixture,Ler Oy,7,9,03/27/2016,03/31/2016,04/18/2012,156.9,177.70,379,741,1120
G136,b1,Ler,Pna10,6932,7526,mixture,Ler Pna10,6,5.5,03/27/2016,NA,04/17/2012,199.6,199.60,469,399,868
G137,b1,Ler,Pna17,6932,7523,mixture,Ler Pna17,6.5,6,03/22/2016,NA,04/18/2012,167.2,188.00,597,389,986
G138,b1,Ler,Pro,6932,8213,mixture,Ler Pro,7,8,03/24/2016,03/24/2016,04/20/2012,122.1,178.73,670,560,1230
G139,b1,Ler,Ra,6932,6958,mixture,Ler Ra,6.5,9.5,03/27/2016,03/29/2016,04/20/2012,191.1,247.73,452,701,1153
G140,b1,Ler,Ren1,6932,6959,mixture,Ler Ren1,9,7,03/22/2016,04/05/2016,04/17/2012,219.9,219.90,603,469,1072
G141,b1,Ler,Ren11,6932,6960,mixture,Ler Ren11,7,6.5,03/22/2016,03/29/2016,04/19/2012,154.9,185.28,668,656,1324
G142,b1,Ler,Rmx2,6932,7524,mixture,Ler Rmx2,8,8,03/27/2016,NA,04/20/2012,184.4,241.03,550,422,972
G143,b1,Ler,Rmx180,6932,7525,mixture,Ler Rmx180,8.5,7,03/24/2016,04/07/2016,04/20/2012,139.6,196.23,542,459,1001
G144,b1,Ler,Rrs7,6932,7514,mixture,Ler Rrs7,7,7,03/24/2016,04/12/2016,04/19/2012,136.1,166.48,570,583,1153
G145,b1,Ler,Se,6932,6961,mixture,Ler Se,5.5,9,03/27/2016,NA,04/17/2012,170.5,170.50,398,579,977
G146,b1,Ler,Sha,6932,6962,mixture,NA,8.5,7,NA,03/24/2016,04/20/2012,NA,NA,NA,NA,NA
G147,b1,Ler,Sorbo,6932,6963,mixture,Ler Sorbo,7,8,03/24/2016,NA,04/18/2012,182,202.80,521,529,1050
G148,b1,Ler,Tamm2,6932,6968,mixture,Ler Tamm2,7,8,03/27/2016,NA,04/19/2012,122.9,153.28,552,382,934
G149,b1,Ler,Tamm27,6932,6969,mixture,Ler Tamm27,7,5,03/27/2016,NA,04/18/2012,116.2,137.00,716,177,893
G150,b1,Ler,Ts1,6932,6970,mixture,Ler Ts1,5,6,03/29/2016,04/10/2016,04/19/2012,183.5,213.88,549,484,1033
G151,b1,Ler,Tsu1,6932,6972,mixture,Ler Tsu1,5.5,8,03/27/2016,03/31/2016,04/18/2012,161.2,182.00,381,783,1164
G152,b1,Ler,Ull23,6932,6973,mixture,Ler Ull23,7.5,6.5,03/27/2016,03/29/2016,04/19/2012,184,214.38,567,652,1219
G153,b1,Ler,Uod1,6932,6975,mixture,Ler Uod1,7,8,03/24/2016,03/29/2016,04/20/2012,119.7,176.33,450,553,1003
G154,b1,Ler,Uod7,6932,6976,mixture,Ler Uod7,6,7,03/24/2016,NA,04/18/2012,189.7,210.50,459,415,874
G155,b1,Ler,Van,6932,6977,mixture,Ler Van,6,7,03/24/2016,03/27/2016,04/18/2012,146.5,167.30,435,561,996
G156,b1,Ler,Var21,6932,7516,mixture,Ler Var21,6.5,6,03/24/2016,NA,04/18/2012,157.2,178.00,691,298,989
G157,b1,Ler,Var26,6932,7517,mixture,Ler Var26,7.5,6,03/24/2016,NA,04/20/2012,77.3,133.93,525,174,699
G158,b1,Ler,Wa,6932,6978,mixture,Ler Wa,8,8,03/24/2016,03/24/2016,04/20/2012,76.3,132.93,477,448,925
G159,b1,Ler,Wie,6932,6979,mixture,Ler Wie,7.5,8,03/24/2016,03/20/2016,04/17/2012,152.7,152.70,691,518,1209
G160,b1,Ler,Ws0,6932,6980,mixture,Ler Ws0,6,10.5,03/27/2016,NA,04/18/2012,188.3,209.10,308,257,565
G161,b1,Ler,Ws2,6932,6981,mixture,Ler Ws2,6.5,8.5,03/24/2016,03/20/2016,04/20/2012,91.4,148.03,421,463,884
G162,b1,Ler,Wt5,6932,6982,mixture,Ler Wt5,7,6,03/24/2016,03/31/2016,04/17/2012,188.4,188.40,542,451,993
G163,b1,Ler,Yo,6932,6983,mixture,Ler Yo,6.5,6.5,03/24/2016,NA,04/18/2012,206,226.80,483,502,985
G164,b1,Ler,Zdr,6932,6984,mixture,Ler Zdr,7.5,7.5,03/24/2016,03/24/2016,04/18/2012,159.4,180.20,588,595,1183
G165,b1,Ler,Sav,6932,8412,mixture,Ler Sav,6.5,6.5,03/24/2016,03/20/2016,04/17/2012,144.4,144.40,491,438,929
G166,b1,Ler,Uk,6932,7378,mixture,Ler Uk,6,8,03/24/2016,04/05/2016,04/17/2012,187.2,187.20,603,661,1264
G167,b1,Ler,Sf2,6932,7328,mixture,Ler Sf2,6.5,8.5,03/27/2016,04/05/2016,04/18/2012,154.8,175.60,504,557,1061
G168,b1,Ler,St0,6932,8387,mixture,Ler St0,7.5,9,03/22/2016,03/29/2016,04/18/2012,246.9,267.70,441,689,1130
G169,b1,Ler,Cvi,6932,6911,mixture,Ler Cvi,7.5,8,03/24/2016,03/24/2016,04/19/2012,170,200.38,673,323,996
G170,b1,Ler,Ci17,6932,6907,mixture,Ler Ci17,6,6,03/27/2016,NA,04/20/2012,164.4,221.03,423,491,914
G171,b1,Ler,Kno10,6932,6927,mixture,Ler Kno10,7.5,7,03/24/2016,NA,04/20/2012,166.3,222.93,573,518,1091
G172,b1,Ler,Lp26,6932,7521,mixture,Ler Lp26,7,6.5,03/24/2016,04/07/2016,04/17/2012,195.3,195.30,586,521,1107
G173,b1,Ler,Pu27,6932,6956,mixture,Ler Pu27,7,7,03/24/2016,04/12/2016,04/19/2012,121.6,151.98,532,437,969
G174,b1,Ler,Sq1,6932,6966,mixture,Ler Sq1,6.5,8,03/27/2016,NA,04/17/2012,177.7,177.70,422,577,999
G175,b1,Ler,Ull25,6932,6974,mixture,Ler Ull25,8,6,03/22/2016,04/03/2016,04/20/2012,129.9,186.53,648,521,1169
G176,b1,Ler,Ag,6932,6897,mixture,Ler Ag,8,8.5,03/24/2016,NA,04/19/2012,178.5,208.88,579,568,1147
G177,b1,Ler,Gy,6932,8214,mixture,Ler Gy,6.5,8.5,03/24/2016,04/10/2016,04/17/2012,127,127.00,526,411,937
G178,b1,Ler,Bor4,6932,6903,mixture,Ler Bor4,7.5,7.5,03/24/2016,04/03/2016,04/19/2012,115.3,145.68,539,508,1047
G179,b1,Ler,Fab4,6932,6918,mixture,Ler Fab4,7,7.5,03/24/2016,NA,04/20/2012,97.6,154.23,599,362,961
G180,b1,Ler,Ga,6932,6919,mixture,Ler Ga,7,6,03/22/2016,04/07/2016,04/19/2012,153.4,183.78,508,529,1037
G181,b1,Ler,Kno18,6932,6928,mixture,Ler Kno18,6,4,03/24/2016,NA,04/17/2012,144.3,144.30,635,240,875
G182,b1,Ler,Mt0,6932,6939,mixture,Ler Mt0,6,7.5,03/24/2016,03/20/2016,04/19/2012,128.4,158.78,567,728,1295
G183,b1,Ler,Omo21,6932,7518,mixture,Ler Omo21,6.5,8.5,03/24/2016,NA,04/18/2012,134.9,155.70,441,405,846
G184,b1,Ler,Pu223,6932,6951,mixture,Ler Pu223,7,6,03/24/2016,04/05/2016,04/17/2012,151,151.00,516,412,928
G185,b1,Ler,Rrs10,6932,7515,mixture,Ler Rrs10,7.5,7,03/24/2016,NA,04/17/2012,212,212.00,573,451,1024
G186,b1,Ler,Fei,6932,8215,mixture,Ler Fei,6.5,9,03/24/2016,03/27/2016,04/18/2012,130.1,150.90,530,694,1224
G187,b1,Ler,Kas,6932,8424,mixture,Ler Kas,6.5,8,03/24/2016,NA,04/17/2012,190.9,190.90,601,651,1252
G188,b1,Ler,No,6932,7275,mixture,Ler No,6.5,8.5,03/24/2016,03/20/2016,04/19/2012,139.9,170.28,575,618,1193
G189,b1,Ler,Bla1,6932,8264,mixture,Ler Bla1,6,7,03/27/2016,NA,04/19/2012,185.6,215.98,673,296,969
G190,b1,Ler,Can,6932,8274,mixture,Ler Can,7,9,03/24/2016,NA,04/17/2012,132.9,132.90,502,647,1149
G191,b1,Ler,Ge,6932,8297,mixture,Ler Ge,7,8,03/27/2016,NA,04/19/2012,176.4,206.78,525,417,942
G192,b1,Ler,Wil2,6932,7413,mixture,Ler Wil2,6.5,7.5,03/24/2016,03/29/2016,04/20/2012,125,181.63,441,681,1122
G193,b1,C24,Ci5,6906,6908,mixture,C24 Ci5,8,5.5,03/27/2016,NA,04/17/2012,215.8,215.80,870,489,1359
G194,b1,C24,Ll0,6906,6933,mixture,C24 Ll0,8,6.5,03/29/2016,04/10/2016,04/20/2012,153.4,210.03,903,245,1148
G195,b1,C24,Nfa10,6906,6943,mixture,C24 Nfa10,6,6,04/03/2016,04/03/2016,04/18/2012,163.8,184.60,589,242,831
G196,b1,C24,Nfa8,6906,6944,mixture,C24 Nfa8,NA,NA,04/03/2016,04/03/2016,04/17/2012,206.8,206.80,654,363,1017
